                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20231214"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      678                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842024989E-001                  1.9107265081637712E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842024989E-001                  1.9107265081637712E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6416002590839165E+000                 -9.8999999999999986E+001                 -2.0896008437422999E+001                 -5.6416002590839165E+000                 -5.6416002590907466E+000                 -1.6444975084694885E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6825435985659345E+000                  6.7922657275925158E-001                  4.9717925011225295E-001                  3.6198003861343082E+000                  0.0000000000000000E+000                  1.4324722427352491E+001                 -3.7006523234820593E-001                  6.5690743086126560E+000                  6.2124110279599509E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861392E-003                  9.3805276451495410E-003                  3.4468833607861427E-003                  9.3805276451495393E-003                  1.0500000000000012E+000                  4.1995530354712352E-001                                        0                                        2 
                                       5                                      681                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842025000E-001                  1.4627169969425445E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842025000E-001                  1.4627169969425445E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6416002589536172E+000                 -9.8999999999999986E+001                 -2.0896008437422999E+001                 -5.6416002589536172E+000                 -5.6416002589604473E+000                 -1.6444975084290029E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6825589249196193E+000                  6.7928790608440837E-001                  4.9717926406746149E-001                  3.6198003582238911E+000                  0.0000000000000000E+000                  1.4324722427405650E+001                 -3.7006523230733435E-001                  6.5690743086249510E+000                  6.2124110279598910E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861392E-003                  9.3805276451495410E-003                  3.4468833607861423E-003                  9.3805276451495393E-003                  1.0500000000000012E+000                  4.1995530354712352E-001                                        0                                        2 
                                      10                                      681                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842025000E-001                  1.4654086863226397E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842025000E-001                  1.4654086863226397E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6416002585700467E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6416002585700467E+000                 -5.6416002585768759E+000                 -1.6444975083092761E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6825578028635926E+000                  6.7928340643001195E-001                  4.9717925835231841E-001                  3.6198003696541772E+000                  0.0000000000000000E+000                  1.4324722427561195E+001                 -3.7006523218820020E-001                  6.5690743086613583E+000                  6.2124110279597067E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861392E-003                  9.3805276451495410E-003                  3.4468833607861423E-003                  9.3805276451495393E-003                  1.0500000000000012E+000                  4.1995530354712352E-001                                        0                                        2 
                                      15                                      681                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842025000E-001                  1.4719225539797714E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842025000E-001                  1.4719225539797714E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6416002576053286E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6416002576053286E+000                 -5.6416002576121587E+000                 -1.6444975080072375E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6825574915727590E+000                  6.7928215600115538E-001                  4.9717925571955640E-001                  3.6198003749197016E+000                  0.0000000000000000E+000                  1.4324722427951345E+001                 -3.7006523188990204E-001                  6.5690743087532146E+000                  6.2124110279592493E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861392E-003                  9.3805276451495410E-003                  3.4468833607861423E-003                  9.3805276451495393E-003                  1.0500000000000012E+000                  4.1995530354712352E-001                                        0                                        2 
                                      20                                      681                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842025000E-001                  1.4874704832598999E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842025000E-001                  1.4874704832598999E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6416002551935467E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6416002551935467E+000                 -5.6416002552003768E+000                 -1.6444975072497346E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6825574106346788E+000                  6.7928182968107087E-001                  4.9717925443567390E-001                  3.6198003774874663E+000                  0.0000000000000000E+000                  1.4324722428925346E+001                 -3.7006523114575735E-001                  6.5690743089830672E+000                  6.2124110279580969E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861392E-003                  9.3805276451495410E-003                  3.4468833607861423E-003                  9.3805276451495393E-003                  1.0500000000000012E+000                  4.1995530354712352E-001                                        0                                        2 
                                      25                                      681                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842025000E-001                  1.5245536543005613E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842025000E-001                  1.5245536543005613E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6416002491810016E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.6416002491810016E+000                 -5.6416002491878317E+000                 -1.6444975053526679E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6825573939014271E+000                  6.7928176078602620E-001                  4.9717925345465508E-001                  3.6198003794495039E+000                  0.0000000000000000E+000                  1.4324722431351345E+001                 -3.7006522929268187E-001                  6.5690743095559645E+000                  6.2124110279552247E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861392E-003                  9.3805276451495410E-003                  3.4468833607861423E-003                  9.3805276451495393E-003                  1.0500000000000012E+000                  4.1995530354712352E-001                                        0                                        2 
                                      30                                      681                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842025000E-001                  1.6093914124929807E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842025000E-001                  1.6093914124929807E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6416002342043914E+000                 -9.8999999999999986E+001                 -2.1373129692142662E+001                 -5.6416002342043914E+000                 -5.6416002342112215E+000                 -1.6444975005989143E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6825573910295546E+000                  6.7928174598374491E-001                  4.9717925179726008E-001                  3.6198003827642942E+000                  0.0000000000000000E+000                  1.4324722437388452E+001                 -3.7006522468139502E-001                  6.5690743109817200E+000                  6.2124110279480738E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861392E-003                  9.3805276451495410E-003                  3.4468833607861423E-003                  9.3805276451495393E-003                  1.0500000000000012E+000                  4.1995530354712352E-001                                        0                                        2 
                                      35                                      681                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842025000E-001                  1.7508442928288504E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842025000E-001                  1.7508442928288504E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6416001969120062E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6416001969120062E+000                 -5.6416001969188363E+000                 -1.6444974886961802E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6825573905034807E+000                  6.7928173617528476E-001                  4.9717924794517759E-001                  3.6198003904684590E+000                  0.0000000000000000E+000                  1.4324722452405943E+001                 -3.7006521320990682E-001                  6.5690743145275778E+000                  6.2124110279302891E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861392E-003                  9.3805276451495410E-003                  3.4468833607861423E-003                  9.3805276451495393E-003                  1.0500000000000012E+000                  4.1995530354712352E-001                                        0                                        2 
                                      40                                      681                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.5000000000000000E+000                  3.3474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842025000E-001                  1.8624149268272855E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842025000E-001                  1.8624149268272855E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6416001040676802E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6416001040676802E+000                 -5.6416001040745103E+000                 -1.6444974589691235E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6825573904768159E+000                  6.7928171714315511E-001                  4.9717923848244355E-001                  3.6198004093939269E+000                  0.0000000000000000E+000                  1.4324722489761637E+001                 -3.7006518467278504E-001                  6.5690743233458342E+000                  6.2124110278860789E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861392E-003                  9.3805276451495410E-003                  3.4468833607861423E-003                  9.3805276451495393E-003                  1.0500000000000012E+000                  4.1995530354712352E-001                                        0                                        2 
